variables	Housebound (7093)	notHousebound (2503)	p.val	p.adjust
severity_n	4.29 (0.53)	2.86 (0.37)	0.00e+00	0.00e+00
fatigue_n	4.71 (0.59)	3.94 (0.85)	8.48e-313	1.44e-311
deteriorating_n	55.67 %	17.66 %	9.21e-254	1.04e-252
dizzness_n	3.18 (1.24)	2.42 (1.1)	4.73e-170	4.02e-169
pem_n	4.75 (0.61)	4.2 (0.9)	9.15e-155	6.22e-154
sensitivity_n	3.77 (1.07)	3.07 (1.15)	1.29e-144	7.31e-144
improving_n	3.1 %	18.58 %	2.75e-126	1.34e-125
muscleorjointpain_n	3.73 (1.16)	3.15 (1.16)	2.72e-97	1.16e-96
sleepproblems_n	3.98 (1.04)	3.46 (1.16)	1.68e-84	6.35e-84
stable_n	19.7 %	35.04 %	1.60e-51	5.44e-51
fibromyalgia_n	34.34 %	24.65 %	1.11e-19	3.43e-19
irritablebowelsyndrome_n	43.96 %	35.16 %	1.18e-14	3.34e-14
migraine_n	31.58 %	24.01 %	5.39e-13	1.41e-12
fluctuating_n	21.53 %	28.73 %	5.84e-13	1.42e-12
multiplechemicalsensitivities_n	15.1 %	9.55 %	7.82e-13	1.77e-12
age_ill	31.88 (12.9)	33.58 (12.52)	8.18e-09	1.74e-08
lof	1.08 (0.12)	1.1 (0.12)	2.14e-07	4.28e-07
allergies_n	38.8 %	34.48 %	1.24e-04	2.34e-04
duration	15.54 (11.11)	14.61 (10.43)	1.64e-04	2.93e-04
relatives_n	15.56 %	13.14 %	3.33e-03	5.66e-03
asthma_n	16.73 %	14.42 %	6.57e-03	1.06e-02
no_trigger_n	13.76 %	15.9 %	9.61e-03	1.42e-02
other_n	13.76 %	15.9 %	9.61e-03	1.42e-02
trauma_n	4.96 %	6.27 %	1.28e-02	1.81e-02
gender_n	85.96 %	83.94 %	1.47e-02	2.00e-02
age	47.42 (13.61)	48.19 (13.89)	1.75e-02	2.29e-02
infection_n	50.71 %	48.02 %	2.14e-02	2.69e-02
interstitialcystitis_n	3.37 %	2.44 %	2.29e-02	2.78e-02
endometriosis_n	7.99 %	6.63 %	2.86e-02	3.35e-02
siccasyndrome_n	5.43 %	4.31 %	3.08e-02	3.49e-02
AIS_n	4.74 %	3.76 %	4.30e-02	4.72e-02
Hashimotosthyroiditis_n	8.94 %	8.35 %	3.89e-01	4.13e-01
pregnancy_n	2.45 %	2.32 %	7.62e-01	7.85e-01
vaccine_n	4.16 %	4.12 %	9.54e-01	9.54e-01
