,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
gender_n,0.1018,0.1064,0.0343,0.1781,0.4089,0.1492,0.0653,0.5049,0.0788,0.0873,0.0718,0.3684,0.3647,0.1023,0.2778,0.1855,0.025,0.0328,0.088,0.1897,0.1796,0.0461,0.0835,0.0165,0
trigger_n,-0.029,0.0274,0.0115,-0.1582,0.3635,-0.5213,0.2415,-0.0381,-0.2774,0.1729,0.4593,-0.0945,-0.0045,-0.2285,0.0959,0.0254,0.1204,-0.0933,-0.1236,-0.1889,0.087,0.0942,-0.145,0.0958,0
relatives_n,0.0404,0.0871,0.1386,-0.1706,-0.0034,0.1512,0.0727,0.1082,-0.6797,0.4174,-0.4324,-0.1296,-0.0342,0.1888,0.0015,0.1395,-0.0512,-0.0415,0.0092,-0.0351,0.0082,0.0132,0.0132,-0.0153,0
fatigue_n,0.3249,-0.2097,-0.1867,-0.1054,-0.1326,-0.0025,-0.126,0.0934,-0.1335,0.0691,0.2331,-0.0542,-0.1072,-0.0023,0.0215,-0.0625,0.1307,0.0356,0.0456,0.3693,0.0777,0.2318,-0.1144,-0.661,0
muscleorjointpain_n,0.3381,0.0069,-0.0777,0.0827,0.1602,0.0842,0.2802,-0.224,0.0195,-0.1181,-0.0363,-0.1487,0.0699,0.1299,-0.2059,0.031,0.1214,0.1565,0.1477,-0.1251,-0.0647,0.5966,0.3957,0.1227,0
dizzness_n,0.3087,-0.1115,0.0317,-0.0905,0.0584,-0.1257,0.0287,-0.0353,0.0465,0.0497,-0.1573,0.1218,0.0946,-0.1205,-0.1268,-0.1499,-0.3086,0.581,-0.0155,-0.3115,0.398,-0.218,-0.0555,-0.1285,0
sleepproblems_n,0.2874,-0.0453,-0.0947,-0.0516,-0.0027,0.0718,0.1989,-0.1051,0.031,-0.0664,0.0637,-0.1583,0.1491,-0.1165,-0.1946,0.1633,-0.492,-0.564,0.1019,0.1743,0.2741,-0.1794,0.0458,0.0529,0
sensitivity_n,0.346,-0.0538,-0.031,-0.0122,0.123,0.0169,0.086,0.0168,0.0051,0.0039,-0.1405,0.2273,0.1639,-0.2569,0.0231,-0.0162,-0.1429,-0.1055,-0.1756,-0.1665,-0.7413,-0.0621,-0.1413,-0.1568,0
pem_n,0.2926,-0.201,-0.1955,-0.0164,-0.1583,0.1635,-0.0781,0.1565,-0.1708,0.0747,0.3023,-0.0129,-0.1154,-0.0163,0.1229,-0.1172,0.2333,-0.0063,-0.0577,-0.1561,-0.0495,-0.4283,0.5145,0.227,0
course_n,0.2038,-0.0041,-0.0404,-0.2321,-0.0265,-0.3907,-0.1948,0.1176,0.2754,-0.0905,-0.2592,-0.028,0.0116,0.3997,0.1082,0.2456,0.2095,-0.3094,-0.0335,-0.369,0.0919,-0.0274,0.0532,-0.1584,0
fibromyalgia_n,0.229,0.2518,-0.0081,0.1124,0.2406,0.0414,0.2335,-0.3273,0.0389,-0.0645,-0.0741,-0.1446,-0.0384,0.1423,-0.0547,0.1524,0.4285,0.1389,0.0774,0.2543,-0.027,-0.4926,-0.2229,-0.0592,0
Hashimotosthyroiditis_n,0.0514,0.1461,-0.0018,0.1091,0.1645,-0.0676,-0.3009,0.243,-0.4213,-0.6801,0.069,-0.0361,-0.124,0.0212,-0.248,0.1747,-0.1104,0.0879,-0.0733,-0.0214,-0.0326,-0.0334,-0.0277,0.0129,0
interstitialcystitis_n,0.0929,0.1673,0.0725,0.0421,0.0997,0.061,-0.453,-0.2479,0.0609,0.4143,0.3111,0.3291,-0.1255,0.1592,-0.4154,0.2554,-0.082,-0.0133,0.0196,-0.0546,-0.0565,0.0272,-0.0029,0.0497,0
siccasyndrome_n,0.0954,0.169,0.0309,0.1216,0.0892,0.034,-0.5053,-0.2418,-0.1051,0.0298,0.0358,-0.3596,0.561,0.0092,0.2259,-0.3285,0.0015,-0.0561,0.0121,-0.0489,0.0163,0.0201,-0.0312,0.0082,0
irritablebowelsyndrome_n,0.1823,0.2075,0.1043,0.1748,-0.0247,-0.0185,-0.049,-0.1165,0.1121,0.0448,0.0732,-0.2298,-0.3877,0.0095,0.5774,0.2974,-0.377,0.172,-0.1723,0.0463,-0.0548,0.0677,0.0955,-0.006,0
migraine_n,0.1735,0.1127,0.221,0.2105,0.1539,-0.0769,0.0964,-0.0364,-0.0685,-0.0531,-0.0235,0.2647,-0.3509,0.3165,0.0571,-0.6554,-0.0988,-0.272,0.011,0.0071,0.0688,0.0106,-0.0253,-0.0159,0
allergies_n,0.1286,0.1947,0.2689,0.245,-0.4225,-0.178,0.0714,0.1134,-0.0891,2e-04,0.122,0.047,0.0475,-0.1651,0.0497,0.0867,0.0549,-0.0093,0.6811,-0.1957,-0.075,-0.0218,-0.0886,-0.0355,0
endometriosis_n,0.0994,0.0885,0.1672,0.1332,0.2096,0.0527,-0.0983,0.483,0.3045,0.2399,-0.0874,-0.4995,-0.2237,-0.2466,-0.3149,-0.1335,0.0807,-0.038,-0.0226,-0.0354,-0.0304,0.0028,-0.0298,0.0053,0
asthma_n,0.094,0.1409,0.1991,0.2485,-0.448,-0.2049,0.2298,0.1457,-0.004,0.0637,0.1584,-0.0553,0.3027,0.2622,-0.222,0.0108,-0.0064,0.0794,-0.5374,0.1237,-0.0204,0.0026,0.0042,0.0155,0
multiplechemicalsensitivities_n,0.1731,0.2784,0.0909,0.0332,-0.1438,-0.0082,-0.1258,-0.1311,-0.042,-0.0443,-0.2803,0.2854,-0.0697,-0.565,0.0337,0.0368,0.314,-0.166,-0.2751,0.0898,0.2972,0.1422,0.1385,0.0379,0
severity_n,0.3432,-0.1613,-0.0786,-0.2147,-0.1217,-0.1943,-0.1632,0.1058,0.029,0.0187,-0.1025,0.0299,-0.0432,0.058,0.0536,-0.0515,0.0115,0.1167,0.09,0.3532,-0.0582,0.1357,-0.35,0.6319,0
age_ill,-0.0781,0.2522,-0.6323,0.256,-0.0388,-0.2214,0.0084,0.0641,-0.0371,0.1473,-0.1387,0.0248,-0.0366,-0.0041,-0.0453,-0.0693,-0.0907,0.0185,0.0504,0.0103,-0.0175,-0.0096,0.0261,9e-04,-0.5889
age,-1e-04,0.4988,-0.4656,-0.1575,-0.113,0.1095,0.0861,0.1209,0.0325,0.0305,0.0614,0.0133,-0.0281,0.0345,-0.0045,-0.1231,-0.0602,0.0251,0.0034,-0.1234,0.0107,0.0444,-0.1189,0.0126,0.6356
duration,0.0919,0.3375,0.1532,-0.5024,-0.0981,0.4006,0.0998,0.0782,0.0851,-0.135,0.2418,-0.0123,0.0075,0.0487,0.0478,-0.0751,0.0303,0.0101,-0.0552,-0.1692,0.0343,0.0678,-0.1822,0.0149,-0.4992
lof,-0.0936,0.2935,0.1656,-0.4309,0.0578,-0.3498,-0.0337,0.0206,0.0665,-0.0048,-0.0413,0.017,0.0658,-0.0352,-0.0735,-0.1312,-0.1374,0.1271,0.1511,0.3938,-0.2066,-0.1264,0.4998,-0.0935,0
